"","item","SD.politics.activity","SD.probability.conservative","number.of.users","politics.activity","probability.conservative"
"1","salon.com",0.189912131407147,0.176755447612208,333,0.426101736277921,0.340645130925182
"2","talkingpointsmemo.com",0.184717183199298,0.149680757742763,241,0.432316099575023,0.310662633721112
"3","rightwingwatch.org",0.176986035928817,0.19838606163933,53,0.451827794127213,0.333528767023835
"4","johnpavlovitz.com",0.187224935691428,0.143129056339733,62,0.446562222717759,0.284946316445628
"5","rawstory.com",0.184665742287537,0.161036499826149,583,0.434665787805989,0.315128104219574
"6","dailykos.com",0.174718576938521,0.145555518386125,337,0.461684921791772,0.294955022576848
"7","newyorker.com",0.194473188444453,0.161093818995174,638,0.376352652580719,0.344286631440136
"8","bluedotdaily.com",0.166088250326976,0.119247488357936,67,0.439337119174756,0.279679311836756
"9","actionnetwork.org",0.179851135796062,0.114866304128675,98,0.417400660186245,0.289567338619461
"10","politicususa.com",0.15476337923804,0.128664679939539,208,0.522129767264184,0.250976493497078
"11","m.dailykos.com",0.186182290091303,0.13587433120155,130,0.454599174973547,0.269587578528051
"12","vogue.com",0.208596635386083,0.13045798222934,77,0.328692967963553,0.346974639686407
"13","amp.cnn.com",0.162820175251632,0.199643192473154,171,0.457606306302857,0.349304775288845
"14","aclu.org",0.177972149733738,0.129407748711874,124,0.407936620744,0.294762267270301
"15","msnbc.com",0.181090853473192,0.178686863823669,331,0.465522503350868,0.324857143391009
"16","act.credoaction.com",0.180264054418253,0.105742481063373,63,0.431652756734689,0.297996196030839
"17","truth-out.org",0.177471053018109,0.136095413213345,52,0.428092634738081,0.335908390924585
"18","teenvogue.com",0.182047627942269,0.118703112330545,100,0.342893019016065,0.320400993735437
"19","occupydemocrats.com",0.160577710514887,0.121143400003906,52,0.500728527690399,0.245677839448471
"20","nova-magazine.net",0.173399904483844,0.170390106045973,56,0.436178158626147,0.303365607769008
"21","news.vice.com",0.195082901925226,0.140968245538869,117,0.357029992478571,0.346760891599783
"22","ir.net",0.162080598249417,0.168795285112128,135,0.507109508272596,0.278050961545452
"23","thinkprogress.org",0.194526311900449,0.148056801676635,540,0.413317166530372,0.311802659359028
"24","crooksandliars.com",0.17936462430468,0.145577155769356,124,0.459283959101504,0.278514223886059
"25","splinternews.com",0.180628223546046,0.130988936255618,157,0.372069458671289,0.322391898311549
"26","billmoyers.com",0.175073269059401,0.115681716433275,108,0.451976938156918,0.275122977377653
"27","nymag.com",0.201254016778855,0.171511583626171,274,0.404612473918767,0.347975355133705
"28","motherjones.com",0.177671394277371,0.145291856567713,402,0.447919278027453,0.298338771750253
"29","palmerreport.com",0.164122761515993,0.111005363577281,129,0.500880042130564,0.250253822801837
"30","verifiedpolitics.com",0.15212675638925,0.104576251712095,114,0.471516040016146,0.258863994396125
"31","shareblue.com",0.171308276971322,0.138755154419387,355,0.475459789572983,0.270642911709853
"32","esquire.com",0.18530633398144,0.164694980569762,186,0.405128986496823,0.331833603880292
"33","foreignpolicy.com",0.179299009016464,0.154701751285909,181,0.442568459239105,0.320730890958847
"34","thecut.com",0.190775754454078,0.153852905465086,115,0.355329475706173,0.340506697962295
"35","thunderclap.it",0.177515426294334,0.149593874108629,70,0.441308066915992,0.283732345297881
"36","americanprogress.org",0.161946687961186,0.14019657444754,60,0.443835000088051,0.311768384267749
"37","secure.actblue.com",0.169624427346558,0.165431423281896,212,0.448866075798142,0.302560004050099
"38","alternet.org",0.181151689605293,0.178670465047843,106,0.470698738692549,0.32679368063833
"39","vanityfair.com",0.199467135098185,0.163725753323492,356,0.412411175352588,0.329476637868282
"40","wonkette.com",0.186622395934591,0.108449488596548,57,0.437312988272103,0.271165298236517
"41","amp.theguardian.com",0.179251030574832,0.176881525899668,62,0.40083074826949,0.338186304604799
"42","thenation.com",0.181253318952011,0.171745726573028,219,0.400063130376387,0.348316247578404
"43","propublica.org",0.168961921206621,0.124725354132953,165,0.437515800848138,0.290984983387773
"44","boingboing.net",0.19881470765692,0.137792270918496,99,0.348431644091328,0.332486397656582
"45","mediamatters.org",0.177576785834561,0.163299560788104,220,0.438310953311704,0.328154466143801
"46","splcenter.org",0.200603685382307,0.176995744186989,51,0.416983939304365,0.335136664617498
"47","healthcare.gov",0.186217354817903,0.180524222702086,140,0.410668309914632,0.337984564247644
"48","petitions.moveon.org",0.174628925384904,0.141432563592284,134,0.446572695894257,0.305412720938573
"49","commondreams.org",0.173454772506271,0.149913270256127,83,0.443210482028322,0.328501708299272
"50","merriam-webster.com",0.190206215486955,0.125646406008243,51,0.308356575456366,0.341262584823053
"51","scientificamerican.com",0.194417965527494,0.125686360872672,63,0.353305836259609,0.346574144979618
"52","amp.businessinsider.com",0.166296885622704,0.206976958724203,56,0.460240252189928,0.346865897260699
"53","bustle.com",0.191953396153928,0.166272894552279,51,0.367063317789427,0.340100519656948
"54","theslot.jezebel.com",0.186670360704162,0.155209516663862,52,0.375258987205846,0.311869394574014
"55","thestar.com",0.190086597476313,0.139654955334783,96,0.360637366927453,0.325303730263686
"56","oneamericaappeal.org",0.190831225602574,0.167862641793621,78,0.384687457731187,0.320608096678543
"57","action.needtoimpeach.com",0.167926431005709,0.117077665679623,256,0.493549119306282,0.270412892004229
"58","needtoimpeach.com",0.172892163473494,0.162053442041387,193,0.473662051765744,0.299713599572191
